feature,ks_stat,wasserstein,wasserstein_normalized
locAbsJitter,0.8741721854304636,0.00020880680042679133,8.504739514855574
tqwt_TKEO_std_dec_7,0.7947019867549668,0.0001409978168252415,0.23593067832569467
tqwt_medianValue_dec_8,0.7665562913907285,0.0001327670450825127,5.5879960835268045
tqwt_energy_dec_27,0.6788079470198676,0.030044544499690386,0.34263872018998326
std_8th_delta_delta,0.6423841059602649,0.0064353167435291635,1.2789962478447197
tqwt_medianValue_dec_26,0.5860927152317881,0.0024631667006559353,0.7377629578694928
tqwt_TKEO_mean_dec_16,0.5447019867549668,0.04646340426461479,0.49164307927805145
tqwt_entropy_log_dec_16,0.5413907284768212,18936.651339158878,1.090903740773264
rapJitter,0.5397350993377483,0.00032582436991037474,0.30931717845191864
std_8th_delta,0.5380794701986755,0.013414234249101015,1.189411983425674
tqwt_entropy_shannon_dec_13,0.5248344370860927,168.87378948117708,0.421709695204373
tqwt_TKEO_mean_dec_12,0.4917218543046358,0.0017958884360194732,0.3095302319499661
mean_MFCC_2nd_coef,0.48841059602649006,2.2440578853493873,1.3344113772910802
std_10th_delta_delta,0.48013245033112584,0.005375451773413054,1.0376710091532773
tqwt_maxValue_dec_12,0.478476821192053,0.07281397912351034,0.7492741071484975
minIntensity,0.4768211920529801,5.855058534836129,0.6803465023585489
tqwt_stdValue_dec_15,0.3890728476821192,0.06801780372171898,0.7368646563993703
std_delta_log_energy,0.3890728476821192,0.016922766731248293,0.5385173633153834
tqwt_TKEO_std_dec_12,0.3890728476821192,0.001673086935882587,0.386243799724868
tqwt_entropy_log_dec_35,0.3675496688741722,733.9795311396713,1.0230322651907877
tqwt_TKEO_mean_dec_13,0.3658940397350993,0.004027140460285347,0.14454332640008435
tqwt_entropy_shannon_dec_12,0.3658940397350993,23.163662761868572,0.1028491176600371
std_6th_delta,0.36423841059602646,0.010437752882947637,0.6888260259852153
std_6th_delta_delta,0.34602649006622516,0.004217222895185626,0.6162551297810838
tqwt_entropy_log_dec_11,0.326158940397351,36985.834946527524,0.8614662143938917
tqwt_minValue_dec_13,0.3162251655629139,0.18037367810592594,1.127144321946817
tqwt_entropy_log_dec_12,0.27980132450331124,27641.419020671936,0.6928374194983753
tqwt_kurtosisValue_dec_18,0.27980132450331124,0.3450954178037232,0.4016175037080815
std_delta_delta_log_energy,0.26986754966887416,0.005130849049876825,0.5551735366611075
tqwt_TKEO_std_dec_13,0.26986754966887416,0.0013082633408757838,0.07804241062547655
tqwt_stdValue_dec_13,0.2632450331125828,0.04460327184255513,0.7880743030088169
std_7th_delta,0.2582781456953642,0.006985764877906895,0.5156069299293848
tqwt_entropy_log_dec_13,0.25496688741721857,17272.494123320965,0.5417772943451685
std_9th_delta_delta,0.24503311258278146,0.00180256531315431,0.35231191438598003
tqwt_entropy_shannon_dec_14,0.23344370860927152,85.59957431984495,0.18067787452603856
apq11Shimmer,0.23013245033112584,0.01215776961476609,0.35724894970977233
tqwt_energy_dec_26,0.1986754966887417,0.01802642972973322,0.21821412199320186
std_7th_delta_delta,0.1390728476821192,0.0025209312951465076,0.4156275700950346
tqwt_stdValue_dec_12,0.12582781456953643,0.0026753719062488014,0.0875822236080987
tqwt_entropy_log_dec_27,0.11754966887417219,786.3610291474668,0.19330481410250655
